,value,action,reward
0,100000000.0,8.0,-0.01155624036980075
1,99978611.76958634,10.0,-0.018496561536635
2,99926896.49507825,7.0,0.0068779053220750005
3,99995650.34871045,10.0,-0.009243239399899794
4,99988557.34381275,2.0,0.0017776724342277728
5,99993888.56415248,4.0,-0.043135117199538
6,99993885.00743774,9.0,-0.007705256170131
7,99962962.14920104,0.0,0.008298951960925
8,99967109.69363835,1.0,-0.0024655650648395004
9,99962842.30950865,6.0,0.024897446233369997
10,99973966.27268025,7.0,0.00047400104280281857
11,99975117.95791912,4.0,-0.024646885960749
12,99975114.86915669,5.0,0.0
13,99975114.86915669,0.0,-0.038522627598786496
14,99975114.86915669,1.0,-0.0003083637743728218
15,99975114.86915669,10.0,0.04269753540337
16,99967818.96477795,4.0,0.061647895672800004
17,99967814.21941644,10.0,0.0023696120944993737
18,99920203.89942192,6.0,-0.001540211364389199
19,99917848.13699627,1.0,0.0
20,99917847.66310802,7.0,-0.0033885452951350004
21,99893643.64156878,10.0,-0.070869874377809
22,99834700.82467864,5.0,0.0
23,99829965.4068388,9.0,0.016601446697495
24,99863113.70836513,9.0,0.0
25,99863114.26877373,10.0,0.0
26,99863114.82890213,1.0,-0.0036985229616634005
27,99837544.24720104,9.0,0.0011857613773758047
28,99837297.16230397,8.0,0.0
29,99836673.38908254,2.0,0.0
30,99836672.24909076,6.0,-0.0030829064693627117
31,99825654.69501987,6.0,0.0011857894986477824
32,99824388.91997701,6.0,-0.004624469371780071
33,99815800.05534169,3.0,-0.004624798406220876
34,99812370.07283965,10.0,0.0
35,99786552.18875086,7.0,-0.005241811152485701
36,99746308.55286857,6.0,0.0023728170083558986
37,99751048.50746568,1.0,-0.0006169031462053277
38,99746787.30250788,0.0,0.004745634016700695
39,99751045.90238354,10.0,0.004745183638599215
40,99728354.01659879,10.0,-0.033926453143531
41,99702341.35100348,10.0,0.0
42,99702341.34414718,5.0,0.0
43,99702341.34414718,6.0,-0.0092550843636485
44,99688145.13589305,10.0,-0.003085467448314949
45,99685779.10118553,10.0,0.002373492832052904
46,99688145.13589478,6.0,-0.007713668620794501
47,99676314.96234864,4.0,-0.040115837447777
48,99676310.22791319,2.0,-0.014662234358303999
49,99676310.22791319,10.0,0.01187761307488
50,99638315.974922,3.0,0.010688582218949999
51,99648968.85571533,6.0,0.01306103063405
52,99656048.20265062,3.0,0.007122338026165
53,99661371.89667645,10.0,0.00237377453888854
54,99632605.41063082,2.0,0.0
55,99632604.22717127,6.0,0.01186859096088
56,99647080.11486715,9.0,0.0035597323081337784
57,99650623.00911087,6.0,0.023729859281925
58,99694888.50868046,2.0,0.0124522663124675
59,99730969.90159811,1.0,-0.0027736949409689
60,99717052.00703833,7.0,-0.007089844213121801
61,99677878.46137586,1.0,0.003321470937129
62,99698393.48934753,4.0,0.004743382980731958
