,date,value,action,reward,balance,coin
0,,100000000.0,3.0,0.7780609221288814,299980000.0,-9.482043380348465
1,,100051115.32535261,7.0,-0.5134005216978615,50000562.21844259,2.3725661684930666
2,,100019002.18261342,6.0,0.30482609572142455,75006749.31790909,1.18607108175948
3,,100028697.89424796,7.0,-0.40664209703030546,50006845.31737164,2.3707415422996223
4,,100017638.15218216,0.0,-0.20333550604413592,125024548.32855739,-1.185323988530246
5,,100018360.80452906,7.0,-0.7976631194748236,50001678.8654719,2.370496546927904
6,,99994265.79190794,7.0,-0.47779582256570735,49987133.92397172,2.3707121029874565
7,,99978340.03966822,3.0,-2.1959738227345307,299910025.33038515,-9.482462184252688
8,,99920156.63340384,5.0,-0.28448827671224997,299910025.33038515,-9.482462184252688
9,,99958086.48214084,1.0,-1.0469980793398,149912136.62500235,-2.370191508361768
10,,99908206.37309414,1.0,-0.3711072664360648,149852313.75629735,-2.367829700267672
11,,99895842.74005002,6.0,-0.29217935349318996,74914389.01186737,1.1837122326766758
12,,99883614.84794918,7.0,-0.47775789323971934,49934316.32064858,2.3675835509611542
13,,99870204.78574577,7.0,-1.188894815446768,49925115.29378708,2.3675462813395387
14,,99830623.35814321,1.0,-0.26441600645189317,149735952.9552405,-2.368011370514332
15,,99821825.28185414,0.0,-0.4702635386768275,124779777.46945295,-1.183929421944803
16,,99813665.7841919,6.0,0.2602608180202045,74855257.38533081,1.183327395188997
17,,99824057.08751625,1.0,-0.33554773583563235,149728597.54844975,-2.3654429299664996
18,,99815386.28322664,6.0,-0.16776989242214724,74854053.00663638,1.1825907099571897
19,,99807308.28208807,7.0,-0.3,49896168.450102374,2.365046048247389
20,,99799822.59114641,6.0,-0.3454734484964704,74842381.58238092,1.1824343332047393
21,,99785833.8413349,7.0,-1.1176475468119755,49885433.28374949,2.365153681946786
22,,99751150.93707456,7.0,-0.37113856807461704,49865601.33922509,2.365621242608546
23,,99738811.18651977,5.0,-0.49804340092484994,49865601.33922509,2.365621242608546
24,,99755370.53521803,5.0,-0.0,49865601.33922509,2.365621242608546
25,,99755370.53521803,7.0,-0.3,49867708.522162646,2.3650482594470716
26,,99745393.78977166,7.0,-0.7267099741577576,49862721.85666958,2.3648117259719688
27,,99721229.88119958,0.0,-0.16778819930270314,124654030.1715549,-1.1824558289800031
28,,99723131.47334051,0.0,-0.15,124653914.35325862,-1.1824503352464015
29,,99723131.4849235,1.0,-0.3,149577217.99252418,-2.3649006707674896
30,,99715652.25006244,1.0,-0.2288488901536235,149563506.4359069,-2.3647233032171893
31,,99708045.03417888,1.0,-0.33557724232792935,149552096.60287645,-2.3646550546454224
32,,99696891.75825968,0.0,-0.09663540209172404,124623607.79601511,-1.1821672369182024
33,,99701158.10730557,1.0,-0.19326321032165775,149544259.8580841,-2.3646038826322355
34,,99697227.71025527,1.0,-0.3,149535872.00078264,-2.364678914405618
35,,99687258.145655,7.0,-0.9047638813119752,49833659.84853472,2.3644424502657673
36,,99657191.16053496,2.0,-0.7423832574034039,199299434.2488227,-4.7293655638067085
37,,99637513.72272392,1.0,-0.22881174963231365,149441322.5163471,-2.364103680603709
38,,99624929.75866576,0.0,-0.22119162870153544,124533653.21436399,-1.1819586389363343
39,,99625056.85741968,6.0,-0.11441468159823483,74713811.15700763,1.1818479744877537
40,,99621257.21933705,5.0,-0.39145907473304997,74713811.15700763,1.1818479744877537
41,,99614757.05547737,1.0,-0.3,149414664.75077343,-2.36395636003411
42,,99607286.22303474,0.0,-0.15,124511598.33449063,-1.181889534908692
