product_id,img_path,brand,name,color1,color2,price_og,price_resell
28029,crawling\product_crawling\image\28029.jpg,Nike,Nike Dunk Low Retro Black,WHITE,BLACK,129000,157200
12831,crawling\product_crawling\image\12831.jpg,Nike,Nike Air Force 1 '07 Low White,WHITE,WHITE,139000,625000
21935,crawling\product_crawling\image\21935.jpg,Nike,Nike Air Force 1 '07 WB Flax,FLAX,GUM,169000,194000
44653,crawling\product_crawling\image\44653.jpg,Nike,Nike x Supreme Air Force 1 Low Flax,FLAX,FLAX-GUM LIGHT BROWN,184600,281600
89548,crawling\product_crawling\image\89548.jpg,Nike,Nike Zoom Vomero 5 PRM Light Iron Ore and Flat Fewter,LIGHTT IRON ORE,METALLIC SILVER,209000,250200
92597,crawling\product_crawling\image\92597.jpg,Nike,Nike Air Force 1 '07 Black White,BLACK,WHITE,139000,140800
ts/36,crawling\product_crawling\image\ts/36.jpg,Nike,Nike Air Force 1 '07 Low Triple Black,BLACK,BLACK,129000,140400
94650,crawling\product_crawling\image\94650.jpg,Nike,Nike Zoom Vomero 5 SP Vast Grey 2023,VAST GREY,VAST GREY,189000,236800
80149,crawling\product_crawling\image\80149.jpg,Nike,Nike Air Force 1 '07 LV8 40th Anniversary Join Forces Sail Malachite,SAIL,MALACHITE,139000,141600
50694,crawling\product_crawling\image\50694.jpg,Nike,Nike Dunk Low Retro Wolf Grey,PURE PLATINUM,WHITE,129000,262600
88045,crawling\product_crawling\image\88045.jpg,Nike,Nike x Sacai Zoom Cortez SP Iron Grey,IRON GREY,WHITE,219000,297400
78768,crawling\product_crawling\image\78768.jpg,Nike,Nike Air Force 1 '07 LV8 Midnight Navy,SAIL,MIDNIGHT NAVY,139000,245400
23632,crawling\product_crawling\image\23632.jpg,Nike,Nike x Supreme Air Force 1 Low White,WHITE,WHITE-WHITE,145200,247000
75302,crawling\product_crawling\image\75302.jpg,Nike,Nike x Tom Sachs General Purpose Shoe Archive,DARK SULFUR,WHITE,129900,258000
94652,crawling\product_crawling\image\94652.jpg,Nike,Nike Zoom Vomero 5 SP Anthracite 2023,ANTHRACITE,ANTHRACITE,189000,211400
74799,crawling\product_crawling\image\74799.jpg,Nike,Nike Dunk Low Retro SE Jackpot Malachite,PALE IVORY,BLACK,139000,258400
49016,crawling\product_crawling\image\49016.jpg,Nike,Nike Air Force 1 '07 LV8 Athletic Club Black Dark Sulfur,BLACK,DARK SULFUR-WHITE-BLACK,139000,279600
64170,crawling\product_crawling\image\64170.jpg,Nike,Nike Air Force 1 Mid '07 QS Chocolate,CHOCOLATE,CREAM,179000,247800
23626,crawling\product_crawling\image\23626.jpg,Nike,Nike x Supreme Air Force 1 Low Black,BLACK,BLACK-BLACK,145200,239800
73952,crawling\product_crawling\image\73952.jpg,Nike,Nike x Sacai Zoom Cortez SP White and University Red,WHITE,UNIVERSITY RED,219000,288600
89856,crawling\product_crawling\image\89856.jpg,Nike,Nike x Stussy Air Penny II Vivid Green and Black,VIVID GREEN,BLACK,246200,257600
72745,crawling\product_crawling\image\72745.jpg,Nike,Nike Dunk Low Retro SE Jackpot Grey Fog,GREY FOG,LIGHT CRIMSON,139000,277800
80145,crawling\product_crawling\image\80145.jpg,Nike,Nike Air Force 1 '07 LV8 40th Anniversary Join Forces White Black,WHITE,BLACK,139000,138400
95258,crawling\product_crawling\image\95258.jpg,Nike,Nike Zoom Mercurial Vapor 15 Pro TF White Pink Blast,WHITE,PINK BLAST,139000,217000
25620,crawling\product_crawling\image\25620.jpg,Nike,Nike x Peaceminusone Air Force 1 Low Para-Noise 2.0,WHITE,BLACK-WHITE,219000,721600
65219,crawling\product_crawling\image\65219.jpg,Nike,Nike x Tom Sachs General Purpose Shoe Light Cream,LIGHT CREAM,WHITE-LIGHT BONE,135400,393800
60362,crawling\product_crawling\image\60362.jpg,Nike,Nike x Comme des Garcons Homme Plus Air Max Sunder SP White Black,WHITE,BLACK-BLACK,393900,401600
43374,crawling\product_crawling\image\43374.jpg,Nike,Nike Dunk Low Retro PRM Halloween,SAIL,STARFISH-BLACK,129000,259600
60294,crawling\product_crawling\image\60294.jpg,Nike,Nike x Stussy Air Force 1 '07 Mid SP Black and Light Bone,BLACK,LIGHT BONE,179000,226600
39448,crawling\product_crawling\image\39448.jpg,Nike,Nike x Sacai x Fragment LDWaffle Blackened Blue,BLUE VOID,OBSIDIAN,209000,408800
41193,crawling\product_crawling\image\41193.jpg,Nike,Nike Dunk Low Retro Grey Fog,WHITE,GREY FOG,123100,332000
52608,crawling\product_crawling\image\52608.jpg,Nike,Nike ACG Mountain Fly Low Gore-Tex SE Dark Smoke Grey,DARK SMOKE GREY,IRON GREY,219000,233200
83075,crawling\product_crawling\image\83075.jpg,Nike,Nike x Drake Nocta Air Force 1 Low SP Certified Lover Boy White,WHITE,WHITE,189000,199200
59968,crawling\product_crawling\image\59968.jpg,Nike,Nike Dunk Low Retro Valerian Blue,VALERIAN BLUE,VALERIAN BLUE,129000,272000
64937,crawling\product_crawling\image\64937.jpg,Nike,Nike Air More Uptempo 96 White Midnight Navy,WHITE,MIDNIGHT NAVY,209000,195600
79958,crawling\product_crawling\image\79958.jpg,Nike,Nike Dunk Low Retro White Neutral Grey,WHITE,NEUTRAL GREY,129000,149400
83266,crawling\product_crawling\image\83266.jpg,Nike,Nike x Why So Sad? SB Dunk Low Pro Coastal Blue,COASTAL BLUE,COASTAL BLUE,139000,190000
43677,crawling\product_crawling\image\43677.jpg,Nike,Nike x Sacai x Undercover LDWaffle Black Bright Citron,BLACK,SAIL,209000,315800
82792,crawling\product_crawling\image\82792.jpg,Nike,Nike Dunk Low SP Kentucky 2022,WHITE,VARSITY ROYAL,129000,212400
88069,crawling\product_crawling\image\88069.jpg,Nike,Nike x Billie Eilish Air Force 1 Low '07 SP Mushroom,MUSHROOM,MUSHROOM,189000,233600
43604,crawling\product_crawling\image\43604.jpg,Nike,Nike SB Dunk Low Pro Premium Mummy,COCONUT MILK,SEAFOAM-YELLOW STRIKE,149000,406800
42255,crawling\product_crawling\image\42255.jpg,Nike,Nike x Sacai x Clot LDWaffle Cool Grey,NEUTRAL GREY,OBSIDIAN-COOL GREY,219000,284000
89154,crawling\product_crawling\image\89154.jpg,Nike,Nike Air Force 1 '07 LV8 Sail Noble Green,SAIL,NOBLE GREEN,149000,152200
42390,crawling\product_crawling\image\42390.jpg,Nike,Nike x NBA Dunk Low Retro EMB Black and Chile Red,SAIL,BLACK-BLACK-CHILE RED,119000,195200
/9655,crawling\product_crawling\image\/9655.jpg,Nike,Nike x J.Crew Killshot 2 Sail Midnight Navy,SAIL,MIDNIGHT NAVY-GUM YELLOW,109000,104800
41020,crawling\product_crawling\image\41020.jpg,Nike,Nike x Sacai VaporWaffle Black and Gum,BLACK,OFF-NOIR-OFF-NOIR,219000,453800
39449,crawling\product_crawling\image\39449.jpg,Nike,Nike x Sacai x Fragment LDWaffle Light Smoke Grey,LT SMOKE GREY,WHITE-BLACK,209000,603200
39142,crawling\product_crawling\image\39142.jpg,Nike,Nike x Off-White Dunk Low The 50 - Lot 18,SAIL,NEUTRAL GREY,219000,546600
50233,crawling\product_crawling\image\50233.jpg,Nike,Nike Air Force 1 '07 LV8 Athletic Club Light Smoke Grey Marina,LIGHT SMOKE GREY,MARINA,135400,275600
82257,crawling\product_crawling\image\82257.jpg,Nike,Nike Air Max 97 OG Silver Bullet 2022,METALLIC SILVER,VARSITY RED,219000,203800
25688,crawling\product_crawling\image\25688.jpg,Nike,Nike Air Force 1 '07 LV8 Low 1 Triple Red,UNIVERSITY RED,UNIVERSITY RED,139000,200000
